,suite,fid,iid
0,all,94,1
1,all,105,1
2,bbob,18,5
3,cec2014,14,1
4,bbob,1,4
5,all,21,1
6,all,87,1
7,all,109,1
8,bbob,14,4
9,bbob,23,1
10,all,45,1
11,bbob,14,1
12,all,107,1
13,all,43,1
14,all,114,1
15,all,34,1
16,all,78,1
17,all,89,1
18,all,100,1
19,bbob,12,3
20,all,14,1
21,all,80,1
22,all,47,1
23,all,16,1
24,all,38,1
25,bbob,17,2
26,all,104,1
27,bbob,17,5
28,all,49,1
29,all,95,1
30,bbob,1,3
31,all,69,1
32,all,40,1
33,all,84,1
34,all,20,1
35,all,31,1
36,all,99,1
37,bbob,23,2
38,all,22,1
39,bbob,23,5
40,bbob,14,2
41,all,35,1
42,all,37,1
43,bbob,19,4
44,bbob,19,1
45,bbob,21,4
46,bbob,22,3
47,all,15,1
48,all,103,1
49,all,39,1
