,suite,fid,iid
0,cec2013,8,1
1,all,34,1
2,all,45,1
3,all,3,1
4,all,25,1
5,bbob,20,1
6,all,91,1
7,all,102,1
8,all,14,1
9,all,69,1
10,bbob,1,3
11,all,47,1
12,bbob,17,2
13,all,80,1
14,all,16,1
15,bbob,19,2
16,all,5,1
17,all,104,1
18,all,49,1
19,bbob,17,5
20,all,38,1
21,all,40,1
22,all,84,1
23,all,20,1
24,all,77,1
25,bbob,23,2
26,all,75,1
27,bbob,23,5
28,bbob,22,3
29,all,66,1
30,all,22,1
31,bbob,14,2
32,all,2,1
33,all,35,1
34,bbob,19,1
35,all,90,1
36,bbob,17,1
37,all,99,1
38,all,15,1
39,bbob,19,4
40,all,48,1
41,all,103,1
42,bbob,18,5
43,all,39,1
44,cec2013,11,1
45,all,37,1
46,all,114,1
47,all,17,1
48,bbob,21,4
49,bbob,1,4
50,all,43,1
