,suite,fid,iid
0,bbob,17,5
1,cec2013,22,1
2,all,40,1
3,all,95,1
4,bbob,17,2
5,bbob,23,2
6,all,27,1
7,bbob,21,2
8,all,93,1
9,bbob,23,5
10,bbob,14,2
11,all,84,1
12,bbob,14,5
13,all,20,1
14,all,53,1
15,bbob,19,1
16,all,99,1
17,all,38,1
18,bbob,19,4
19,all,90,1
20,bbob,16,5
21,all,22,1
22,all,77,1
23,all,110,1
24,bbob,18,5
25,bbob,22,3
26,all,35,1
27,all,15,1
28,all,37,1
29,all,103,1
30,all,114,1
31,all,19,1
32,all,17,1
33,bbob,1,4
34,all,39,1
35,all,94,1
36,all,43,1
37,all,87,1
38,all,45,1
39,all,1,1
40,all,100,1
41,bbob,1,3
42,all,47,1
43,all,80,1
44,all,14,1
45,all,16,1
46,all,49,1
47,all,104,1
