,suite,fid,iid
0,bbob,23,5
1,bbob,14,2
2,all,45,1
3,cec2014,2,1
4,all,100,1
5,bbob,14,5
6,bbob,17,4
7,all,47,1
8,all,25,1
9,all,91,1
10,all,102,1
11,all,3,1
12,all,14,1
13,bbob,16,2
14,all,69,1
15,all,80,1
16,all,16,1
17,all,49,1
18,bbob,22,3
19,all,84,1
20,all,38,1
21,bbob,19,4
22,bbob,19,1
23,all,104,1
24,bbob,18,5
25,all,40,1
26,all,95,1
27,bbob,1,4
28,all,20,1
29,all,75,1
30,all,22,1
31,all,77,1
32,all,66,1
33,all,99,1
34,all,2,1
35,all,35,1
36,all,90,1
37,all,15,1
38,all,37,1
39,all,48,1
40,all,103,1
41,all,114,1
42,all,39,1
43,bbob,1,3
44,bbob,17,2
45,bbob,17,5
46,all,96,1
47,all,10,1
48,all,43,1
49,all,34,1
50,bbob,23,2
