,suite,fid,iid
0,all,24,1
1,all,46,1
2,all,90,1
3,all,79,1
4,all,15,1
5,all,94,1
6,bbob,1,4
7,all,59,1
8,all,37,1
9,all,6,1
10,all,39,1
11,all,61,1
12,all,118,1
13,all,103,1
14,all,114,1
15,bbob,23,3
16,all,19,1
17,all,96,1
18,all,43,1
19,all,87,1
20,all,80,1
21,all,14,1
22,all,47,1
23,all,109,1
24,bbob,17,2
25,all,45,1
26,bbob,17,5
27,bbob,19,2
28,all,100,1
29,all,25,1
30,bbob,23,5
31,all,49,1
32,bbob,23,2
33,all,104,1
34,all,40,1
35,bbob,14,2
36,all,38,1
37,bbob,22,3
38,bbob,3,2
39,bbob,17,1
40,all,84,1
41,bbob,19,1
42,bbob,18,5
43,all,22,1
44,bbob,19,4
45,all,77,1
46,all,99,1
47,all,35,1
48,bbob,21,4
