,suite,fid,iid
0,bbob,13,4
1,all,59,1
2,all,103,1
3,all,68,1
4,all,114,1
5,all,4,1
6,all,83,1
7,all,94,1
8,all,61,1
9,all,37,1
10,all,105,1
11,all,116,1
12,bbob,21,2
13,bbob,23,2
14,bbob,23,5
15,bbob,14,2
16,bbob,3,2
17,bbob,19,1
18,all,96,1
19,all,39,1
20,bbob,19,4
21,bbob,17,1
22,all,87,1
23,bbob,18,5
24,all,45,1
25,all,78,1
26,all,100,1
27,all,43,1
28,bbob,22,3
29,all,14,1
30,bbob,16,5
31,bbob,1,4
32,all,34,1
33,all,80,1
34,all,49,1
35,all,47,1
36,all,104,1
37,all,40,1
38,all,16,1
39,all,95,1
40,all,75,1
41,all,84,1
42,all,99,1
43,all,35,1
44,bbob,1,3
45,all,90,1
46,all,22,1
47,all,15,1
48,bbob,17,2
49,bbob,17,5
