,suite,fid,iid
0,all,82,1
1,all,93,1
2,all,115,1
3,cec2013,8,1
4,all,84,1
5,bbob,17,4
6,bbob,19,1
7,bbob,19,4
8,all,104,1
9,bbob,23,1
10,bbob,22,3
11,all,40,1
12,bbob,14,2
13,all,95,1
14,all,20,1
15,all,22,1
16,all,77,1
17,all,99,1
18,all,110,1
19,bbob,18,5
20,all,35,1
21,all,38,1
22,bbob,1,4
23,all,66,1
24,all,90,1
25,all,15,1
26,all,59,1
27,all,37,1
28,all,103,1
29,bbob,14,4
30,all,48,1
31,all,114,1
32,bbob,14,1
33,all,61,1
34,all,39,1
35,bbob,1,3
36,all,19,1
37,bbob,12,3
38,bbob,17,2
39,all,43,1
40,bbob,17,5
41,all,1,1
42,all,100,1
43,all,80,1
44,bbob,23,2
45,bbob,23,5
46,all,45,1
47,all,14,1
48,all,47,1
49,all,16,1
50,all,49,1
