,suite,fid,iid
0,bbob,19,4
1,bbob,21,1
2,all,79,1
3,cec2017,30,1
4,bbob,22,3
5,all,11,1
6,all,99,1
7,bbob,16,5
8,all,35,1
9,all,68,1
10,all,90,1
11,bbob,18,5
12,all,37,1
13,all,15,1
14,all,116,1
15,all,103,1
16,bbob,1,4
17,all,114,1
18,all,39,1
19,bbob,14,1
20,all,105,1
21,all,96,1
22,all,94,1
23,all,43,1
24,all,87,1
25,all,109,1
26,all,34,1
27,all,45,1
28,bbob,23,3
29,bbob,17,2
30,bbob,17,5
31,all,14,1
32,all,47,1
33,all,80,1
34,all,16,1
35,all,5,1
36,bbob,12,3
37,all,104,1
38,all,29,1
39,all,84,1
40,all,49,1
41,bbob,23,2
42,bbob,23,5
43,bbob,14,2
44,all,53,1
45,all,22,1
46,bbob,19,1
47,all,77,1
