,suite,fid,iid
0,all,20,1
1,all,31,1
2,all,53,1
3,all,99,1
4,bbob,10,3
5,bbob,21,3
6,all,24,1
7,bbob,1,3
8,bbob,17,2
9,bbob,17,5
10,all,22,1
11,all,77,1
12,all,110,1
13,all,2,1
14,all,103,1
15,all,68,1
16,all,35,1
17,all,114,1
18,all,90,1
19,all,37,1
20,bbob,19,2
21,all,15,1
22,bbob,23,2
23,all,6,1
24,all,39,1
25,bbob,23,5
26,all,94,1
27,bbob,17,1
28,all,43,1
29,all,87,1
30,all,45,1
31,bbob,14,2
32,bbob,22,3
33,bbob,19,1
34,all,1,1
35,all,34,1
36,bbob,21,4
37,all,100,1
38,bbob,18,5
39,bbob,1,4
40,bbob,19,4
41,all,14,1
42,all,47,1
43,bbob,23,1
44,all,80,1
45,all,104,1
46,all,38,1
47,all,49,1
48,all,29,1
49,all,84,1
