,suite,fid,iid
0,all,16,1
1,bbob,23,2
2,all,49,1
3,bbob,23,5
4,bbob,4,1
5,all,25,1
6,cec2014,28,1
7,all,38,1
8,all,104,1
9,bbob,22,3
10,all,29,1
11,all,84,1
12,bbob,16,2
13,all,31,1
14,all,20,1
15,bbob,14,2
16,all,53,1
17,all,22,1
18,bbob,19,1
19,all,110,1
20,bbob,18,5
21,bbob,19,4
22,bbob,21,4
23,bbob,1,4
24,all,66,1
25,all,99,1
26,all,35,1
27,all,90,1
28,all,15,1
29,all,37,1
30,all,103,1
31,all,114,1
32,all,39,1
33,all,94,1
34,bbob,14,4
35,cec2013,11,1
36,all,50,1
37,bbob,1,3
38,all,19,1
39,bbob,17,2
40,all,10,1
41,all,43,1
42,bbob,17,5
43,all,45,1
44,all,78,1
45,all,100,1
46,all,14,1
47,all,47,1
48,all,80,1
