,suite,fid,iid
0,all,45,1
1,all,89,1
2,all,100,1
3,all,111,1
4,all,43,1
5,all,34,1
6,bbob,18,5
7,all,3,1
8,all,115,1
9,bbob,23,1
10,bbob,1,4
11,bbob,14,1
12,bbob,14,4
13,all,80,1
14,all,14,1
15,all,47,1
16,all,104,1
17,all,40,1
18,all,38,1
19,all,49,1
20,all,84,1
21,bbob,12,3
22,all,20,1
23,all,77,1
24,bbob,17,5
25,bbob,17,2
26,bbob,23,3
27,all,75,1
28,all,99,1
29,all,24,1
30,all,90,1
31,all,22,1
32,all,15,1
33,all,48,1
34,all,2,1
35,all,103,1
36,all,92,1
37,all,68,1
38,all,35,1
39,bbob,17,4
40,all,61,1
41,all,37,1
42,all,114,1
43,all,59,1
44,bbob,22,3
45,all,96,1
46,all,39,1
47,bbob,23,2
48,bbob,23,5
49,bbob,14,2
50,bbob,19,1
51,bbob,19,4
52,all,87,1
