,suite,fid,iid
0,bbob,17,2
1,all,103,1
2,all,63,1
3,all,39,1
4,bbob,17,5
5,bbob,1,3
6,all,107,1
7,all,96,1
8,all,43,1
9,bbob,23,2
10,all,87,1
11,all,34,1
12,bbob,23,5
13,all,80,1
14,all,45,1
15,all,14,1
16,bbob,17,4
17,bbob,19,1
18,bbob,19,4
19,bbob,14,2
20,cec2013,9,1
21,all,3,1
22,all,100,1
23,all,69,1
24,all,104,1
25,all,113,1
26,bbob,22,3
27,all,16,1
28,bbob,16,5
29,all,38,1
30,all,84,1
31,all,49,1
32,all,18,1
33,all,37,1
34,all,29,1
35,bbob,18,5
36,all,95,1
37,all,20,1
38,all,99,1
39,all,75,1
40,bbob,1,4
41,all,22,1
42,bbob,14,4
43,all,77,1
44,all,59,1
45,all,35,1
46,bbob,14,1
47,all,2,1
48,all,114,1
49,bbob,12,3
50,all,15,1
51,all,48,1
