,suite,fid,iid
0,cec2013,9,1
1,all,80,1
2,all,113,1
3,bbob,17,4
4,all,49,1
5,all,104,1
6,bbob,22,3
7,all,18,1
8,all,40,1
9,all,5,1
10,all,38,1
11,all,117,1
12,bbob,23,5
13,bbob,3,2
14,bbob,14,2
15,all,16,1
16,bbob,23,2
17,bbob,19,1
18,bbob,19,4
19,all,84,1
20,all,75,1
21,all,20,1
22,all,99,1
23,all,77,1
24,all,35,1
25,all,90,1
26,all,22,1
27,bbob,18,5
28,all,15,1
29,bbob,23,1
30,all,48,1
31,all,2,1
32,all,114,1
33,bbob,1,4
34,all,59,1
35,all,103,1
36,all,68,1
37,all,39,1
38,all,61,1
39,all,37,1
40,bbob,17,5
41,bbob,17,2
42,bbob,1,3
43,all,87,1
44,all,34,1
45,all,45,1
46,all,43,1
47,all,3,1
48,all,14,1
49,all,1,1
