,suite,fid,iid
0,cec2013,8,1
1,all,34,1
2,all,45,1
3,all,3,1
4,all,25,1
5,bbob,20,1
6,all,91,1
7,all,102,1
8,all,14,1
9,all,69,1
10,bbob,1,3
11,all,47,1
12,bbob,17,2
13,all,80,1
14,all,16,1
15,bbob,19,2
16,all,5,1
17,all,104,1
18,all,49,1
19,bbob,17,5
20,all,38,1
21,all,40,1
22,all,84,1
23,all,20,1
24,all,53,1
25,all,77,1
26,bbob,23,2
27,all,75,1
28,bbob,23,5
29,bbob,22,3
30,all,66,1
31,all,22,1
32,bbob,14,2
33,all,2,1
34,all,35,1
35,bbob,19,1
36,all,90,1
37,bbob,17,1
38,all,99,1
39,all,15,1
40,bbob,19,4
41,all,48,1
42,all,103,1
43,bbob,18,5
44,all,39,1
45,cec2013,11,1
46,all,37,1
47,all,114,1
48,all,17,1
49,bbob,21,4
50,bbob,1,4
51,all,43,1
