,suite,fid,iid
0,bbob,10,3
1,bbob,21,3
2,all,17,1
3,all,39,1
4,all,114,1
5,all,94,1
6,all,116,1
7,bbob,1,3
8,all,107,1
9,bbob,17,2
10,all,21,1
11,all,87,1
12,bbob,17,5
13,all,19,1
14,all,43,1
15,bbob,19,2
16,all,1,1
17,all,45,1
18,all,100,1
19,all,14,1
20,all,47,1
21,all,80,1
22,all,16,1
23,all,49,1
24,all,104,1
25,bbob,17,1
26,bbob,23,2
27,bbob,23,5
28,bbob,14,2
29,bbob,22,3
30,all,18,1
31,all,40,1
32,all,84,1
33,bbob,16,5
34,bbob,19,1
35,all,99,1
36,bbob,21,4
37,bbob,19,4
38,bbob,1,4
39,all,31,1
40,all,22,1
41,bbob,18,5
42,all,77,1
43,all,2,1
44,all,35,1
45,all,37,1
46,all,103,1
47,all,15,1
