,suite,fid,iid
0,all,43,1
1,all,65,1
2,all,109,1
3,all,19,1
4,all,100,1
5,all,1,1
6,bbob,1,3
7,all,89,1
8,all,78,1
9,all,87,1
10,bbob,17,2
11,bbob,17,5
12,all,80,1
13,all,45,1
14,all,38,1
15,all,14,1
16,all,104,1
17,all,25,1
18,all,47,1
19,bbob,23,5
20,bbob,21,2
21,bbob,23,2
22,all,84,1
23,bbob,19,1
24,bbob,19,4
25,all,16,1
26,all,95,1
27,all,49,1
28,bbob,3,2
29,bbob,14,2
30,all,40,1
31,bbob,17,1
32,all,22,1
33,all,20,1
34,all,31,1
35,bbob,22,3
36,all,99,1
37,all,90,1
38,all,37,1
39,bbob,18,5
40,all,48,1
41,all,35,1
42,all,59,1
43,all,17,1
44,all,39,1
45,all,15,1
46,all,114,1
47,bbob,1,4
48,all,103,1
49,all,61,1
