,suite,fid,iid
0,cec2014,1,1
1,bbob,17,1
2,all,107,1
3,bbob,19,4
4,bbob,19,1
5,all,87,1
6,bbob,18,5
7,bbob,1,4
8,all,19,1
9,bbob,16,5
10,all,43,1
11,all,1,1
12,all,45,1
13,all,78,1
14,all,100,1
15,all,89,1
16,all,47,1
17,all,80,1
18,all,16,1
19,all,49,1
20,all,14,1
21,all,102,1
22,all,104,1
23,all,18,1
24,bbob,22,3
25,all,84,1
26,all,95,1
27,all,53,1
28,bbob,14,2
29,all,114,1
30,all,99,1
31,bbob,23,3
32,all,40,1
33,bbob,17,2
34,all,31,1
35,bbob,17,5
36,all,22,1
37,all,35,1
38,all,37,1
39,all,103,1
40,bbob,21,2
41,bbob,23,2
42,all,15,1
43,all,48,1
44,bbob,23,5
45,bbob,3,2
46,all,6,1
47,all,39,1
48,all,116,1
