,suite,fid,iid
0,bbob,17,5
1,all,53,1
2,bbob,9,1
3,all,75,1
4,all,22,1
5,all,110,1
6,bbob,23,2
7,bbob,23,5
8,bbob,21,2
9,all,77,1
10,all,99,1
11,all,2,1
12,all,35,1
13,all,68,1
14,all,90,1
15,all,15,1
16,all,37,1
17,bbob,14,2
18,all,114,1
19,all,39,1
20,all,83,1
21,bbob,19,4
22,bbob,19,1
23,bbob,18,5
24,bbob,22,3
25,all,103,1
26,all,94,1
27,all,40,1
28,bbob,16,5
29,all,96,1
30,all,43,1
31,all,87,1
32,all,34,1
33,all,45,1
34,all,100,1
35,bbob,1,4
36,bbob,14,1
37,all,14,1
38,all,47,1
39,all,3,1
40,all,102,1
41,all,80,1
42,all,16,1
43,all,38,1
44,all,104,1
45,all,84,1
46,all,20,1
47,bbob,1,3
48,all,49,1
49,all,115,1
50,bbob,17,2
51,all,95,1
