,suite,fid,iid
0,all,5,1
1,all,27,1
2,all,117,1
3,all,84,1
4,all,38,1
5,bbob,2,3
6,bbob,16,5
7,bbob,19,4
8,bbob,19,1
9,bbob,18,5
10,bbob,1,4
11,all,49,1
12,all,18,1
13,all,40,1
14,all,20,1
15,all,53,1
16,bbob,21,4
17,all,79,1
18,all,22,1
19,bbob,14,4
20,bbob,14,1
21,all,77,1
22,all,99,1
23,bbob,14,2
24,all,104,1
25,all,35,1
26,all,68,1
27,all,24,1
28,all,90,1
29,all,103,1
30,all,15,1
31,all,37,1
32,bbob,1,3
33,all,48,1
34,all,114,1
35,all,17,1
36,all,39,1
37,all,45,1
38,bbob,17,2
39,bbob,17,5
40,all,43,1
41,all,1,1
42,all,34,1
43,bbob,23,2
44,bbob,23,5
45,all,87,1
46,all,102,1
47,all,14,1
48,all,47,1
49,all,80,1
50,bbob,22,3
