,suite,fid,iid
0,all,34,1
1,cec2014,11,1
2,all,25,1
3,all,14,1
4,all,47,1
5,all,80,1
6,all,38,1
7,all,49,1
8,all,104,1
9,all,29,1
10,bbob,23,5
11,bbob,22,3
12,all,95,1
13,bbob,23,2
14,bbob,14,2
15,all,93,1
16,bbob,19,1
17,bbob,19,4
18,all,84,1
19,all,20,1
20,bbob,21,4
21,all,99,1
22,all,24,1
23,bbob,18,5
24,all,22,1
25,bbob,1,4
26,all,77,1
27,bbob,14,1
28,all,35,1
29,bbob,14,4
30,all,68,1
31,all,4,1
32,all,15,1
33,all,59,1
34,all,37,1
35,all,114,1
36,all,103,1
37,bbob,12,3
38,all,107,1
39,all,6,1
40,all,39,1
41,bbob,17,5
42,bbob,17,2
43,all,94,1
44,bbob,1,3
45,all,96,1
46,bbob,22,1
47,all,43,1
48,all,87,1
49,all,45,1
50,all,100,1
