,suite,fid,iid
0,cec2013,2,1
1,all,4,1
2,all,37,1
3,bbob,18,2
4,bbob,18,5
5,all,107,1
6,all,19,1
7,bbob,23,4
8,bbob,14,1
9,all,96,1
10,bbob,1,4
11,all,43,1
12,all,48,1
13,all,87,1
14,all,102,1
15,all,45,1
16,all,100,1
17,bbob,17,5
18,all,3,1
19,all,47,1
20,all,80,1
21,all,115,1
22,all,14,1
23,all,25,1
24,bbob,17,2
25,all,38,1
26,bbob,22,3
27,all,84,1
28,bbob,1,3
29,all,16,1
30,all,49,1
31,all,104,1
32,all,40,1
33,all,20,1
34,all,77,1
35,all,53,1
36,all,22,1
37,bbob,23,2
38,all,75,1
39,bbob,23,5
40,bbob,14,2
41,all,99,1
42,all,2,1
43,all,35,1
44,all,114,1
45,bbob,19,1
46,all,103,1
47,all,15,1
48,bbob,19,4
49,all,39,1
