,suite,fid,iid
0,bbob,17,5
1,all,37,1
2,cec2013,8,1
3,all,61,1
4,all,94,1
5,all,116,1
6,bbob,23,2
7,cec2013,23,1
8,bbob,23,5
9,bbob,14,2
10,all,10,1
11,all,43,1
12,all,109,1
13,bbob,14,5
14,bbob,19,1
15,all,34,1
16,bbob,19,4
17,bbob,22,3
18,all,87,1
19,all,96,1
20,all,45,1
21,all,78,1
22,bbob,17,4
23,all,14,1
24,all,47,1
25,all,80,1
26,bbob,18,5
27,bbob,23,1
28,all,5,1
29,bbob,1,4
30,all,84,1
31,all,49,1
32,all,104,1
33,all,40,1
34,all,95,1
35,all,31,1
36,all,22,1
37,bbob,1,3
38,all,99,1
39,all,24,1
40,all,35,1
41,all,90,1
42,all,68,1
43,all,15,1
44,all,59,1
45,all,103,1
46,all,114,1
47,all,39,1
48,bbob,17,2
