,suite,fid,iid
0,bbob,1,2
1,bbob,23,2
2,cec2013,9,1
3,bbob,23,5
4,bbob,14,2
5,all,59,1
6,all,92,1
7,all,61,1
8,bbob,17,1
9,all,19,1
10,all,37,1
11,all,96,1
12,all,107,1
13,bbob,21,4
14,all,43,1
15,bbob,22,3
16,bbob,16,5
17,bbob,19,1
18,bbob,18,5
19,bbob,19,4
20,all,45,1
21,bbob,1,1
22,all,3,1
23,all,47,1
24,all,115,1
25,bbob,1,4
26,all,14,1
27,all,49,1
28,all,80,1
29,all,5,1
30,all,38,1
31,all,16,1
32,all,104,1
33,all,40,1
34,all,84,1
35,all,20,1
36,all,75,1
37,all,22,1
38,bbob,1,3
39,all,77,1
40,bbob,17,2
41,bbob,17,5
42,all,66,1
43,all,99,1
44,all,2,1
45,all,35,1
46,all,103,1
47,all,114,1
48,all,15,1
49,all,94,1
50,all,39,1
