,suite,fid,iid
0,bbob,23,2
1,bbob,23,5
2,bbob,12,5
3,bbob,14,2
4,cec2013,8,1
5,all,80,1
6,all,104,1
7,all,115,1
8,cec2015,4,1
9,bbob,17,4
10,bbob,19,1
11,all,84,1
12,all,49,1
13,all,16,1
14,all,20,1
15,all,18,1
16,all,53,1
17,all,75,1
18,all,29,1
19,all,95,1
20,bbob,22,3
21,bbob,19,4
22,all,22,1
23,bbob,16,5
24,bbob,18,5
25,cec2014,28,1
26,all,66,1
27,all,99,1
28,all,77,1
29,bbob,1,4
30,all,35,1
31,bbob,14,1
32,all,90,1
33,all,15,1
34,all,2,1
35,all,48,1
36,all,114,1
37,bbob,14,4
38,all,103,1
39,all,37,1
40,all,39,1
41,bbob,1,3
42,all,43,1
43,bbob,17,2
44,all,34,1
45,bbob,17,5
46,all,45,1
47,all,100,1
48,all,14,1
49,all,47,1
50,all,69,1
51,all,38,1
52,all,3,1
